iter	Passed	Remaining
0	159	159312
1	161	80715
2	164	54822
3	166	41568
4	169	33744
5	172	28559
6	178	25271
7	181	22558
8	185	20383
9	188	18656
10	193	17367
11	196	16148
12	197	15022
13	201	14166
14	203	13355
15	207	12734
16	209	12122
17	211	11519
18	212	10968
19	214	10508
20	216	10079
21	217	9669
22	218	9299
23	221	8989
24	223	8706
25	224	8427
26	226	8169
27	228	7929
28	229	7699
29	231	7489
30	233	7283
31	234	7088
32	236	6933
33	238	6781
34	240	6633
35	242	6492
36	244	6351
37	245	6216
38	246	6084
39	248	5959
40	250	5850
41	252	5756
42	254	5661
43	255	5557
44	257	5460
45	259	5373
46	261	5294
47	263	5219
48	265	5147
49	267	5081
50	269	5022
51	272	4963
52	273	4894
53	275	4828
54	277	4764
55	278	4702
56	280	4643
57	282	4587
58	284	4535
59	286	4486
60	288	4438
61	289	4386
62	291	4335
63	293	4288
64	294	4239
65	296	4193
66	298	4153
67	300	4117
68	302	4078
69	303	4035
70	305	3993
71	306	3952
72	308	3918
73	309	3878
74	311	3842
75	312	3804
76	315	3777
77	316	3744
78	318	3707
79	319	3673
80	320	3640
81	322	3608
82	323	3579
83	325	3553
84	327	3523
85	329	3503
86	332	3487
87	334	3463
88	336	3445
89	338	3421
90	340	3399
91	342	3376
92	343	3348
93	344	3320
94	346	3300
95	348	3280
96	350	3259
97	351	3237
98	354	3222
99	356	3208
100	358	3188
101	359	3167
102	361	3148
103	363	3132
104	365	3113
105	367	3098
106	369	3081
107	371	3065
108	372	3047
109	374	3033
110	377	3020
111	379	3008
112	382	2999
113	385	2998
114	387	2982
115	388	2964
116	390	2945
117	391	2927
118	393	2912
119	395	2899
120	397	2884
121	398	2869
122	400	2854
123	401	2838
124	403	2821
125	404	2804
126	405	2787
127	407	2773
128	409	2761
129	411	2753
130	413	2740
131	414	2727
132	416	2713
133	418	2701
134	420	2691
135	422	2681
136	424	2674
137	427	2668
138	429	2659
139	430	2647
140	432	2636
141	434	2625
142	436	2614
143	437	2601
144	439	2588
145	440	2578
146	442	2569
147	444	2560
148	446	2550
149	447	2537
